Cell ID,has_aggregate,cell_area,cell_mean_intensity,cell_total_intensity,cell_variance_intensity,cell_sd_intensity,aggregate_total_intensity,aggregate_mean_intensity,rest_of_cell_mean_intensity,rest_of_cell_total_intensity,rest_of_cell_variance_intensity,rest_of_cell_sd_intensity
33,False,4134,11.754716981132075,48594.0,207.40927665349164,14.40171089327555,,,,,,
34,False,5404,21.474154946952876,116046.33333333334,681.1867857712048,26.099555279184447,,,,,,
35,False,3041,25.50564507289269,77562.66666666667,1102.0498146748598,33.197135639612945,,,,,,
36,False,2380,14.410364145658264,34296.666666666664,295.99070490941466,17.204380398881405,,,,,,
37,True,6227,13.957925164605749,86916.0,329.92071779772925,18.163719822705072,171.0,57.0,13.951011885640861,260577.0,328.9697063858744,18.137522057488294
38,False,4322,24.32322998611754,105125.0,1059.367603202852,32.54792778661726,,,,,,
39,False,2330,24.026609442060085,55982.0,907.5560873596247,30.125671566948093,,,,,,
40,True,2056,29.546530479896237,60747.666666666664,1328.6615832931695,36.45081046140359,167.0,55.666666666666664,29.5338199513382,182076.0,1326.913900817542,36.42682940934528
41,False,4386,23.674190606475147,103835.0,956.924931990421,30.934203270658532,,,,,,
42,False,2581,24.491411597572,63212.333333333336,979.8139195236005,31.30197948251197,,,,,,
43,False,3932,13.506103763987792,53106.0,310.30269248295974,17.615410653259257,,,,,,
44,True,2111,21.81446391915364,46050.33333333333,750.7208266390345,27.39928514832156,149.0,49.666666666666664,21.801263823064772,138002.0,749.1156382131778,27.369976949445498
45,False,4510,25.410643015521064,114602.0,927.7006997343508,30.45817952101456,,,,,,
46,False,4226,22.27890834516485,94150.66666666666,761.1408566092048,27.588781354188242,,,,,,
47,True,6406,14.126131751482985,90492.0,286.21231432169867,16.917810565250416,91.0,30.333333333333332,14.12360135310955,271385.0,286.02026785253,16.912133746293815
48,False,2490,10.326372155287817,25712.666666666664,155.51382927515505,12.4705184044271,,,,,,
49,False,3544,13.93331452219714,49379.666666666664,339.93639202372447,18.437364020480924,,,,,,
50,True,4116,29.48598963394882,121364.33333333334,1389.9444911084122,37.281959324965904,168.0,56.0,29.479546375050628,363925.0,1389.066754593738,37.27018586744287
51,False,3622,9.867476532302595,35740.0,143.07354741455143,11.961335519688069,,,,,,
52,False,3037,13.649324991768193,41453.0,304.2114579462956,17.441658692518196,,,,,,
53,False,4096,24.359293619791668,99775.66666666667,930.3582941624851,30.501775262474233,,,,,,
54,False,1202,14.625069328896284,17579.333333333332,303.99919404677416,17.43557266185353,,,,,,
55,False,3327,20.605851117122533,68555.66666666667,678.9082675377979,26.055868197736146,,,,,,
56,False,6193,9.87109101673933,61131.66666666667,154.59025044324727,12.433432769884883,,,,,,
57,False,5786,29.03157045742597,167976.66666666666,1447.1363463180858,38.04124533079965,,,,,,
58,False,3187,20.503503817592303,65344.66666666667,605.5172191844065,24.60725948138895,,,,,,
59,True,4938,20.258134197380855,100034.66666666666,670.0352973423259,25.885040029760933,192.0,64.0,20.24927418810344,299912.0,668.6489554856203,25.858247339787365
60,True,2317,18.501942166594734,42869.0,543.0377965444902,23.303171383837228,138.0,46.0,18.49006908462867,128469.0,541.710465568054,23.274674338603624
61,False,4362,15.132125936114932,66006.33333333333,369.6101600379381,19.22524798378263,,,,,,
62,False,4403,26.445226739344385,116438.33333333333,1093.4988736123794,33.068094496241834,,,,,,
63,False,3960,11.063131313131313,43810.0,208.5710986123865,14.441990811947862,,,,,,
64,False,1725,20.39381642512077,35179.33333333333,603.2300293962519,24.56074162960581,,,,,,
65,False,3355,17.94227521112767,60196.33333333333,504.0082922898823,22.450129003858358,,,,,,
66,False,5523,17.7145271289758,97837.33333333334,472.292094472814,21.732282311639842,,,,,,
67,False,5521,22.898629475336595,126423.33333333334,829.3898930682299,28.79913007485174,,,,,,
68,False,1816,17.097283406754773,31048.666666666668,409.4306974659362,20.234393923859844,,,,,,
